seq_id	Sample
GmC01089	GmC01089_CKDL210018111-1a-AK9142-7UDI246_HH72GDSX2_L1
GmC01090	GmC01090_CKDL210018111-1a-AK8410-7UDI246_HH72GDSX2_L1
GmC01092	GmC01092_CKDL210018111-1a-AK7759-7UDI246_HH72GDSX2_L1
GmC01093	GmC01093_CKDL210018111-1a-AK6881-7UDI246_HH72GDSX2_L1
GmC01094	GmC01094_CKDL210018111-1a-AK6260-7UDI246_HH72GDSX2_L1
GmC01095	GmC01095_CKDL210018111-1a-AK7010-7UDI246_HH72GDSX2_L1
GmC01096	GmC01096_CKDL210018111-1a-5UDI312-7UDI246_HH72GDSX2_L1
GmC02001	GmC02001_CKDL210018111-1a-5UDI298-7UDI243_HH72GDSX2_L1
GmC02002	GmC02002_CKDL210018111-1a-AK9142-AK33_HH72GDSX2_L1
GmC02006	GmC02006_CKDL210018111-1a-AK6260-AK8544_HH72GDSX2_L1
GmC02007	GmC02007_CKDL210018111-1a-AK7010-AK892_HH72GDSX2_L1
GmC02008	GmC02008_CKDL210018111-1a-AK7759-7UDI243_HH72GDSX2_L1
GmC02011	GmC02011_CKDL210018111-1a-AK9142-7UDI298_HH72GDSX2_L1
GmC02012	GmC02012_CKDL210018111-1a-AK6260-AK9148_HH72GDSX2_L1
GmC02013	GmC02013_CKDL210018111-1a-AK6881-AK9148_HH72GDSX2_L1
GmC02014	GmC02014_CKDL210018111-1a-AK9142-AK892_HH72GDSX2_L1
GmC02015	GmC02015_CKDL210018111-1a-5UDI312-AK33_HH72GDSX2_L1
GmC02016	GmC02016_CKDL210018111-1a-AK9142-AK4997_HH72GDSX2_L1
GmC02017	GmC02017_CKDL210018111-1a-AK9142-7UDI243_HH72GDSX2_L1
GmC02018	GmC02018_CKDL210018111-1a-AK9142-AK9148_HH72GDSX2_L1
GmC02019	GmC02019_CKDL210018111-1a-AK7761-AK9148_HH72GDSX2_L1
GmC02020	GmC02020_CKDL210018111-1a-AK6881-AK33_HH72GDSX2_L1
GmC02021	GmC02021_CKDL210018111-1a-AK6260-7UDI227_HH72GDSX2_L1
GmC02022	GmC02022_CKDL210018111-1a-AK3905-7UDI227_HH72GDSX2_L1
GmC02023	GmC02023_CKDL210018111-1a-AK6881-AK4997_HH72GDSX2_L1
GmC02024	GmC02024_CKDL210018111-1a-AK6260-AK4997_HH72GDSX2_L1
GmC02025	GmC02025_CKDL210018111-1a-AK7010-7UDI243_HH72GDSX2_L1
GmC02026	GmC02026_CKDL210018111-1a-AK9141-AK4997_HH72GDSX2_L1
GmC02027	GmC02027_CKDL210018111-1a-AK7010-AK8544_HH72GDSX2_L1
GmC02029	GmC02029_CKDL210018111-1a-5UDI298-AK892_HH72GDSX2_L1
GmC02031	GmC02031_CKDL210018111-1a-AK9141-7UDI227_HH72GDSX2_L1
GmC02033	GmC02033_CKDL210018111-1a-AK6881-7UDI227_HH72GDSX2_L1
GmC02034	GmC02034_CKDL210018111-1a-AK8410-7UDI227_HH72GDSX2_L1
GmC02035	GmC02035_CKDL210018111-1a-AK6881-AK892_HH72GDSX2_L1
GmC02036	GmC02036_CKDL210018111-1a-AK9141-AK9148_HH72GDSX2_L1
GmC02038	GmC02038_CKDL210018111-1a-AK7759-7UDI227_HH72GDSX2_L1
GmC02039	GmC02039_CKDL210018111-1a-5UDI312-7UDI243_HH72GDSX2_L1
GmC02041	GmC02041_CKDL210018111-1a-AK6881-7UDI243_HH72GDSX2_L1
GmC02043	GmC02043_CKDL210018111-1a-5UDI298-AK4997_HH72GDSX2_L1
GmC02044	GmC02044_CKDL210018111-1a-AK3905-7UDI243_HH72GDSX2_L1
GmC02048	GmC02048_CKDL210018111-1a-AK7759-AK9148_HH72GDSX2_L1
GmC02049	GmC02049_CKDL210018111-1a-AK8410-AK892_HH72GDSX2_L1
GmC02050	GmC02050_CKDL210018111-1a-AK3905-AK9148_HH72GDSX2_L1
GmC02052	GmC02052_CKDL210018111-1a-AK6881-7UDI298_HH72GDSX2_L1
GmC02054	GmC02054_CKDL210018111-1a-AK3905-AK8544_HH72GDSX2_L1
GmC02056	GmC02056_CKDL210018111-1a-AK8410-AK4997_HH72GDSX2_L1
