Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
GmA01074_CKDL210018111-1a-AK7078-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	754093.0	26127.0	4427.0	1264.0	439.0	916.0	119.0	38.0	0.0	0.0	0.0	144702.0	6477453.0
GmA01078_CKDL210018111-1a-AK9143-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	112688.0	95705.0	15345.0	8503.0	4459.0	712.0	1714.0	1192.0	12.0	0.0	2.0	624374.0	23356750.0
GmA01078_CKDL210018111-1a-AK9143-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	112326.0	97830.0	15361.0	8765.0	4564.0	705.0	1727.0	1217.0	24.0	0.0	0.0	624610.0	23354327.0
GmA01079_CKDL210018111-1a-AK9143-AK10343_HH72GDSX2_L1_clmp_fp2_r1_screen	155299.0	70059.0	12332.0	6142.0	3141.0	472.0	1162.0	839.0	14.0	0.0	3.0	408372.0	16518004.0
GmA01079_CKDL210018111-1a-AK9143-AK10343_HH72GDSX2_L1_clmp_fp2_r2_screen	0.0	0.0	31989.0	25460.0	4751.0	1156.0	3080.0	1745.0	24.0	34.0	0.0	340546.0	16767054.0
GmA01083_CKDL210018111-1a-AK9143-GD06_HH72GDSX2_L1_clmp_fp2_r1_screen	389274.0	60834.0	15003.0	5210.0	2443.0	607.0	929.0	599.0	10.0	0.0	1.0	408848.0	13747988.0
GmA01083_CKDL210018111-1a-AK9143-GD06_HH72GDSX2_L1_clmp_fp2_r2_screen	386546.0	61903.0	14973.0	5150.0	2346.0	601.0	949.0	641.0	7.0	0.0	0.0	407716.0	13750914.0
GmA01089_CKDL210018111-1a-AK9143-AK8488_HH72GDSX2_L1_clmp_fp2_r1_screen	212546.0	45279.0	2300270.0	2934.0	1253.0	1121.0	490.0	315.0	7.0	0.0	0.0	1144054.0	8327655.0
GmA01089_CKDL210018111-1a-AK9143-AK8488_HH72GDSX2_L1_clmp_fp2_r2_screen	211195.0	45626.0	2300886.0	2894.0	1299.0	1116.0	476.0	339.0	15.0	0.0	0.0	1129980.0	8342098.0
GmA02001_CKDL210018111-1a-AK3911-AK4234_HH72GDSX2_L1_clmp_fp2_r1_screen	527194.0	20939.0	59935.0	3500.0	568.0	258.0	143.0	75.0	3.0	0.0	0.0	188604.0	1508434.0
GmA02001_CKDL210018111-1a-AK3911-AK4234_HH72GDSX2_L1_clmp_fp2_r2_screen	525829.0	20903.0	59700.0	3432.0	558.0	236.0	135.0	90.0	2.0	0.0	0.0	187794.0	1510974.0
GmA02002_CKDL210018111-1a-5UDI225-AK7557_HH72GDSX2_L1_clmp_fp2_r1_screen	50408.0	28754.0	27500.0	3431.0	1793.0	152.0	475.0	312.0	21.0	0.0	0.0	130301.0	2943569.0
GmA02002_CKDL210018111-1a-5UDI225-AK7557_HH72GDSX2_L1_clmp_fp2_r2_screen	49987.0	29064.0	27331.0	3403.0	1761.0	148.0	473.0	353.0	11.0	0.0	0.0	130616.0	2943569.0
GmA02004_CKDL210018111-1a-5UDI225-AK4236_HH72GDSX2_L1_clmp_fp2_r1_screen	39810.0	4165.0	17677.0	1548.0	141.0	38.0	25.0	31.0	2.0	0.0	0.0	35292.0	375016.0
